Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,61.000000,61.799999,59.000000,59.250000,57.769119,442593
2020-10-09,59.200001,59.799999,58.099998,58.650002,57.184116,190441
2020-10-12,58.650002,59.000000,57.200001,57.650002,56.209110,184268
2020-10-13,57.900002,60.500000,57.549999,59.099998,57.622864,691912
2020-10-14,59.000000,59.750000,57.500000,57.849998,56.404110,300433
2020-10-15,57.599998,59.400002,57.000000,57.349998,55.916607,239877
2020-10-16,57.799999,58.299999,56.849998,57.500000,56.062855,256338
2020-10-19,58.200001,59.349998,57.650002,58.200001,56.745365,220425
2020-10-20,59.500000,60.900002,58.250000,58.500000,57.037868,742071
2020-10-21,59.000000,59.500000,57.599998,59.150002,57.671619,269196
2020-10-22,59.900002,64.849998,59.099998,64.300003,62.692905,2550845
2020-10-23,65.000000,67.500000,64.699997,65.900002,64.252907,1811930
2020-10-26,66.349998,68.800003,64.000000,64.650002,63.034153,1287867
2020-10-27,64.849998,65.000000,63.200001,63.799999,62.205395,871026
2020-10-28,64.949997,67.500000,64.550003,65.800003,64.155418,1052216
2020-10-29,65.699997,67.000000,63.700001,66.349998,64.691658,887737
2020-10-30,68.000000,69.349998,63.799999,64.599998,62.985401,2090614
2020-11-02,65.150002,65.500000,62.349998,63.150002,61.571644,309359
2020-11-03,63.700001,64.300003,61.000000,61.849998,60.304134,428659
2020-11-04,62.000000,62.849998,60.599998,61.349998,59.816631,346052
2020-11-05,62.150002,63.700001,62.099998,63.099998,61.522888,459502
2020-11-06,63.500000,66.400002,63.099998,64.849998,63.229153,989209
2020-11-09,65.199997,66.400002,64.400002,64.550003,62.936653,366493
2020-11-10,65.449997,66.650002,65.099998,65.800003,64.155418,574131
2020-11-11,66.449997,66.800003,64.650002,65.800003,64.155418,631205
2020-11-12,65.699997,67.400002,65.500000,66.849998,65.179161,704601
2020-11-13,67.400002,68.199997,66.500000,67.699997,66.007927,760455
2020-11-14,null,null,null,null,null,null
2020-11-17,68.949997,71.250000,68.000000,70.000000,68.250443,1985070
2020-11-18,70.400002,72.400002,69.599998,71.449997,69.664192,970559
2020-11-19,71.250000,72.000000,67.900002,69.199997,67.470428,711241
2020-11-20,69.849998,71.349998,68.699997,69.949997,68.201683,462407
2020-11-23,70.599998,71.400002,69.000000,70.099998,68.347931,411597
2020-11-24,70.099998,71.349998,69.800003,70.650002,68.884193,387401
2020-11-25,71.250000,71.750000,68.699997,68.900002,67.177925,336922
2020-11-26,69.449997,70.150002,68.500000,69.750000,68.006683,233533
2020-11-27,69.699997,71.900002,69.500000,71.650002,69.859200,513816
2020-12-01,72.000000,78.400002,71.699997,76.300003,74.392975,2127028
2020-12-02,77.000000,78.900002,74.699997,78.250000,76.294235,966381
2020-12-03,78.800003,80.650002,77.500000,77.849998,75.904228,760213
2020-12-04,78.650002,80.900002,77.449997,78.500000,76.537987,834318
2020-12-07,79.349998,81.599998,78.900002,80.750000,78.731750,1078679
2020-12-08,81.300003,81.500000,76.150002,79.300003,77.318001,715034
